"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Тесты","Создание пользователя API /auth/register","Негативный сценарий регистрации","0","0","4","0","0"
"API Тесты","Логин пользователя API /auth/*","Негативный сценарий авторизации","0","0","4","0","0"
"API Тесты","Работа с заказами API /orders","Создание заказа","1","0","3","0","0"
"API Тесты","Создание пользователя API /auth/register","Позитивный сценарий регистрации","0","0","1","0","0"
"API Тесты","Работа с ингредиентами API /ingredients","Получение списка ингредиентов","0","0","1","0","0"
"API Тесты","Логин пользователя API /auth/*","Позитивный сценарий авторизации","0","0","1","0","0"
